id,lat,long,village,bed_hygiene,bird_nests_inside,chicken_coop_location,bedroom_clutter,dark_main_room,floor_type,construction_pile_type,firewood_location,grain_storage_in_house,house_age,house_hygiene,kitchen_location,land_for_agriculture,num_humans,num_chickens,num_dogs,num_pigs,sign_animals,sign_rats,condition_bedroom_wall,condition_house_wall,material_house_wall,material_roof,windows_in_bedroom,dist_perim,density,infestation,truth
145_Amatillo,1123.8222695217376,178.64963488056756,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,adentro_casa,si,2_to_6,mala,adentro_casa,owned,6,13,9,1,TRUE,TRUE,deterioradas,deterioradas,palopique,vegetal_clay,FALSE,49.99979337733345,4,0,0
148 y 147_Amatillo,1123.779320357265,178.60986180695798,Amatillo,mala,si,afuera_casa,si_acumula,no,tierra,ninguno,afuera_casa,no,2_to_6,mala,adentro_casa,owned,3,6,3,0,TRUE,TRUE,buen_estado,buen_estado,palopique,alum_cement,FALSE,56.770683473350864,4,0,0
149_Amatillo,1123.7692849543726,178.60789765924744,Amatillo,mala,no,no,si_acumula,si,tierra,ninguno,afuera_casa,no,7_or_more,mala,adentro_casa,owned,6,0,0,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,49.9834185847666,4,0,0
150_Amatillo,1123.777046686228,178.59223280979057,Amatillo,mala,no,afuera_casa,no_acumula,si,tierra,ninguno,adentro_casa,si,one_or_less,mala,adentro_casa,rented,9,13,3,0,FALSE,TRUE,deterioradas,deterioradas,palopique,alum_cement,FALSE,70.65337004020799,3,0,0
150A_Amatillo,1123.8164022906656,178.59075110726124,Amatillo,buena,si,afuera_casa,no_acumula,si,tierra,ninguno,adentro_casa,no,2_to_6,buena,adentro_casa,owned,2,21,2,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,111.84010903878496,6,0,0
152_Amatillo,1123.8572208137418,178.5743933337479,Amatillo,mala,si,no,si_acumula,si,tierra,ninguno,afuera_casa,no,7_or_more,mala,afuera_casa,owned,3,6,0,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,167.12661154772238,5,1,1
153A_Amatillo,1123.8298992449675,178.52032300303185,Amatillo,mala,si,no,si_acumula,si,tierra,ninguno,ninguno,no,one_or_less,mala,adentro_casa,no,5,5,2,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,187.4907804808445,7,0,0
154_Amatillo,1123.803279912985,178.51019947233462,Amatillo,mala,no,afuera_casa,si_acumula,si,tierra,ninguno,adentro_casa,no,7_or_more,buena,adentro_casa,owned,8,2,0,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,vegetal_clay,FALSE,160.3754962755539,5,0,0
156_Amatillo,1123.798403082225,178.4928894913653,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,adentro_casa,no,7_or_more,mala,adentro_casa,owned,8,5,1,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,vegetal_clay,FALSE,165.99018488025584,8,0,0
157_Amatillo,1123.7556040438833,178.44340901935567,Amatillo,mala,si,adj_inside,no_acumula,si,tierra,ninguno,directly_outside,no,7_or_more,buena,adentro_casa,owned,0,23,1,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,145.12861943207187,9,0,0
158A_Amatillo,1123.7544851703071,178.43238599648788,Amatillo,mala,si,adj_inside,si_acumula,si,tierra,ninguno,adentro_casa,no,2_to_6,mala,adentro_casa,owned,5,15,4,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,151.2451134123339,9,0,0
159B_Amatillo,1123.7354687725956,178.42165344978588,Amatillo,buena,si,no,si_acumula,si,tierra,ninguno,afuera_casa,no,2_to_6,buena,afuera_casa,owned,4,8,2,0,TRUE,FALSE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,134.27122001438417,8,0,0
159C_Amatillo,1123.7360895141828,178.48766810506405,Amatillo,mala,si,no,si_acumula,si,tierra,ninguno,afuera_casa,no,7_or_more,mala,adentro_casa,owned,7,9,2,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,89.86430666284015,6,0,0
160_Amatillo,1123.7075021904352,178.4190691325785,Amatillo,mala,no,no,no_acumula,si,tierra,ninguno,adentro_casa,no,7_or_more,mala,afuera_casa,owned,3,0,0,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,100.27058944105968,6,0,0
